ID,Vulnerability description,Vulnerability location,Location-subtype,Vulnerability type,Type-subtype,Risk,Time,Attack surface,Country/region,EPA size,SAE level,Power type,APP class,Vehicle ID,Participant ID,Skill1,Skill2,Skill3,Skill4,Privacy data breach,Control hijacking,Ransomware,System damage,Unauthroized unlocking,Driving accident
13,Key leakage in XX Company,Outside-vehicle,Cloud platform,Information leakage,Information leakage,High,2024-3-20,Remote,China,Sedan,L2,Electric,-,Competition-8-Vehicle-3,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
14,Severe vulnerability allowing arbitrary remote vehicle control in XX Company,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Critical,2024-3-19,Remote,China,Sedan,L2,Electric,-,Competition-3-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
15,The complaint system in XX Company's app can leak information of all users,Outside-vehicle,APP,Information leakage,Information leakage,Medium,2024-3-15,Remote,China,Sedan,L2,Electric, APP-internal,Competition-3-Vehicle-5,9,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
16,The audio and video projects in the customer service system of XX Company's app can be taken over,Outside-vehicle,APP,Authorization,Unauthorized accessing,Medium,2024-3-15,Remote,China,Sedan,L2,Electric, APP-internal,Competition-3-Vehicle-5,9,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
17,The vehicle control app of XX Company can leak user information through the chat component,Outside-vehicle,APP,Information leakage,Information leakage,Medium,2024-3-15,Remote,China,Sedan,L2,Electric, APP-internal,Competition-3-Vehicle-5,9,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
18,The trunk of XX Company's XX model can be opened via USB,In-vehicle,IVI,OS,USB,Low,2024-3-15,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,9,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
19,Information leakage vulnerability in the ftpserver of the IVI in XX Company's XX model,In-vehicle,IVI,Authorization,Unauthorized accessing,Low,2024-3-14,Short-range,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,3,Port scanning,Brute force,-,-,TRUE,TRUE,-,-,-,-
20,Stack overflow vulnerability in the TBOX of XX Company's XX model,In-vehicle,T-Box,Memory,Buffer overflow,Low,2024-3-14,Short-range,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,3,Firmware extraction,Reverse engineering,Code audit,-,-,TRUE,-,-,-,-
21,The APP of XX Company's XX model has a mileage information leakage vulnerability,Outside-vehicle,APP,Information leakage,Information leakage,Low,2024-3-14,Remote,China,SUV,L3,Electric, APP-internal,Competition-4-Vehicle-4,4,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
22,The APP of XX Company has a critical PIN code brute-force vulnerability,Outside-vehicle,APP,Authorization,Weak password,Low,2024-3-14,Remote,China,SUV,L3,Electric, APP-internal,Competition-4-Vehicle-4,4,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
23,The APP of XX Company has a vulnerability of vehicle parking image leakage,Outside-vehicle,APP,Information leakage,Information leakage,High,2024-3-14,Remote,China,SUV,L3,Electric, APP-internal,Competition-4-Vehicle-4,4,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
24,The in-vehicle components of XX Company have a denial of service vulnerability,In-vehicle,T-Box,Memory,Buffer overflow,Low,2024-3-14,Short-range,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,3,Firmware extraction,Reverse engineering,Code audit,-,-,TRUE,-,-,-,-
25,The in-vehicle components of XX Company have multiple heap overflow vulnerabilities,In-vehicle,T-Box,Memory,Buffer overflow,Low,2024-3-14,Short-range,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,3,Firmware extraction,Reverse engineering,Code audit,-,-,TRUE,-,-,-,-
26,The APP of XX Company has a vulnerability of full-site user file leakage,Outside-vehicle,APP,Information leakage,Information leakage,Low,2024-3-14,Remote,China,SUV,L3,Electric, APP-internal,Competition-4-Vehicle-4,4,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
27,The APP of XX Company has a vulnerability of user group or tribe information leakage and unauthorized operation,Outside-vehicle,APP,Information leakage,Information leakage,Medium,2024-3-14,Remote,China,SUV,L3,Electric, APP-internal,Competition-4-Vehicle-4,4,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
28,The vehicle air conditioning temperature of XX Company can be queried by the APP without authorization,Outside-vehicle,APP,Authorization,Unauthorized accessing,Low,2024-3-13,Remote,China,SUV,L3,Electric, APP-internal,Competition-4-Vehicle-4,5,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
29,The car search interface of XX Company's APP can obtain a large amount of user sensitive information without authorization,Outside-vehicle,APP,Information leakage,Information leakage,Low,2024-3-13,Remote,China,Sedan,L2,Electric, APP-internal,Competition-3-Vehicle-5,1,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
30,The car group member list interface of XX Company's APP can obtain user sensitive information without authorization,Outside-vehicle,APP,Authorization,Unauthorized accessing,Low,2024-3-13,Remote,China,Sedan,L2,Electric, APP-internal,Competition-3-Vehicle-5,1,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
31,The APP of XX Company has a vehicle information leakage vulnerability,Outside-vehicle,APP,Information leakage,Information leakage,High,2024-3-13,Remote,China,SUV,L3,Electric, APP-internal,Competition-4-Vehicle-4,5,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
32,The automatic battery charging option of XX Company can be modified by the APP without authorization,Outside-vehicle,APP,Authorization,Unauthorized accessing,Medium,2024-3-13,Remote,China,SUV,L3,Electric, APP-internal,Competition-4-Vehicle-4,5,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
33,The APP of XX Company has a vulnerability of obtaining vehicle sensitive information without authorization,Outside-vehicle,APP,Authorization,Unauthorized accessing,High,2024-3-13,Remote,China,Sedan,L2,Electric, APP-internal,Competition-3-Vehicle-5,1,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
34,The APP of XX Company has a severe vulnerability of arbitrary remote vehicle control,Outside-vehicle,APP,Authorization,Unauthorized accessing,Critical,2024-3-13,Remote,China,Sedan,L2,Electric, APP-internal,Competition-3-Vehicle-5,1,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
35,The interface of XX Company's APP has a user information leakage vulnerability,Outside-vehicle,APP,Information leakage,Information leakage,Low,2024-3-13,Remote,China,SUV,L3,Electric, APP-internal,Competition-4-Vehicle-4,5,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
36,The system of XX Company's XX model has a vulnerability of installing arbitrary software,In-vehicle,IVI,OS,Arbitrary software installation,Low,2024-3-12,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-3,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
37,The system of XX Company's XX model has a vulnerability of enabling adb,In-vehicle,IVI,Authorization,Unauthorized accessing,Medium,2024-3-12,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-4,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
38,The system of XX Company's XX model has a vulnerability of entering engineering mode,In-vehicle,IVI,Authorization,Unauthorized accessing,Medium,2024-3-12,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-4,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
39,The APP of XX Company can perform privacy settings without authorization,Outside-vehicle,APP,Authorization,Unauthorized accessing,Low,2024-3-12,Remote,China,Sedan,L2,Electric, APP-internal,Competition-8-Vehicle-4,1,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
40,The vehicles of XX Company have a vulnerability of obtaining vehicle information without authorization,Outside-vehicle,APP,Authorization,Unauthorized accessing,Medium,2024-3-12,Remote,China,Sedan,L2,Electric, APP-internal,Competition-3-Vehicle-5,1,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
41,The XX model of XX Company has a vulnerability where local logs leak sensitive information such as vehicle driving records,In-vehicle,T-Box,Information leakage,Information leakage,Low,2024-3-12,Short-range,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,8,Firmware extraction,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
42,The APP of XX Company leaks car maintenance records,Outside-vehicle,APP,Information leakage,Information leakage,Medium,2024-3-12,Remote,China,Sedan,L2,Electric, APP-internal,Competition-8-Vehicle-4,1,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
43,The XX model of XX Company has a remote command execution vulnerability caused by stack overflow,In-vehicle,T-Box,Memory,Buffer overflow,Low,2024-3-11,Short-range,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,8,Firmware extraction,Reverse engineering,Code audit,-,-,TRUE,-,-,-,-
44,XX Company has a vulnerability of relay attack on keyless start to start the vehicle,In-vehicle,Radio,Interception,Relay,Medium,2024-3-11,Mid-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,9,Traffic analysis,-,-,-,-,-,-,-,TRUE,-
45,Vehicle information of XX Company can be obtained by the APP without authorization,Outside-vehicle,APP,Information leakage,Information leakage,Medium,2024-3-11,Remote,China,Sedan,L2,Hybird, APP-internal,Competition-6-Vehicle-4,9,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
46,The system of XX Company's XX model has a DNS denial of service vulnerability (CVE-2017-14496),In-vehicle,IVI,DoS,DoS,Low,2024-3-11,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-4,1,Vulnerability reproduction,-,-,-,-,-,-,TRUE,-,-
47,The system of XX Company's XX model has a DNS denial of service vulnerability (CVE-2017-14495),In-vehicle,IVI,DoS,DoS,Low,2024-3-11,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-4,1,Vulnerability reproduction,-,-,-,-,-,-,TRUE,-,-
48,The system of XX Company's XX model has a DNS denial of service vulnerability (CVE-2017-14493),In-vehicle,IVI,DoS,DoS,Low,2024-3-11,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-4,1,Vulnerability reproduction,-,-,-,-,-,-,TRUE,-,-
49,Weak root password on XX Company's gateway,In-vehicle,ECU,Authorization,Weak password,Medium,2024-3-11,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-4,1,Port scanning,Brute force,-,-,TRUE,TRUE,-,-,-,-
50,The system of XX Company's XX model can illegally obtain gateway root permissions,In-vehicle,IVI,Authorization,Unauthorized accessing,Medium,2024-3-11,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-4,1,Port scanning,Brute force,-,-,TRUE,TRUE,-,-,-,-
51,The built-in browser of XX Company's XX model has a vulnerability of arbitrary file reading,In-vehicle,IVI,File operation,File accessing,Low,2024-3-11,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,9,Firmware extraction,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
52,The system of XX Company's XX model has remote adb debugging enabled,In-vehicle,IVI,Authorization,Unauthorized accessing,Medium,2024-3-11,Remote,China,Sedan,L2,Electric,-,Competition-8-Vehicle-4,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
53,XX Company has a relay attack vulnerability on keyless start,In-vehicle,Radio,Interception,Relay,Medium,2024-3-11,Mid-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,9,Traffic analysis,-,-,-,-,-,-,-,TRUE,-
54,XX Company has a relay attack vulnerability on keyless start,In-vehicle,Radio,Interception,Relay,Medium,2024-3-11,Mid-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,9,Traffic analysis,-,-,-,-,-,-,-,TRUE,-
55,XX Company's cloud platform has an SQL injection vulnerability,Outside-vehicle,Cloud platform,Injection,SQL injection,Medium,2024-3-11,Remote,China,SUV,L3,Electric,-,Competition-4-Vehicle-4,5,Penetration testing,-,-,-,TRUE,-,-,-,-,-
56,The system of XX Company's XX model has a denial of service vulnerability,In-vehicle,IVI,DoS,DoS,Low,2024-3-9,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-4,5,Firmware extraction,Reverse engineering,Code audit,-,-,-,-,TRUE,-,-
57,The IVI of XX Company's XX model has a vulnerability of arbitrary file reading,In-vehicle,IVI,File operation,File accessing,Low,2024-3-9,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,8,Firmware extraction,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
58,The APP of XX Company has a data leakage vulnerability,Outside-vehicle,APP,Information leakage,Information leakage,High,2024-3-8,Remote,China,Sedan,L2,Electric, APP-internal,Competition-8-Vehicle-4,4,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
59,The IVI of XX Company's XX model has a local privilege escalation vulnerability,In-vehicle,IVI,Authorization,Privilege escalation,Low,2024-3-8,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-4,4,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
60,The APP of XX Company has a vulnerability of unauthorized reading,Outside-vehicle,APP,Authorization,Unauthorized accessing,Low,2024-3-8,Remote,German,Sedan,L2,Petrol, APP-internal,Competition-4-Vehicle-3,3,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
61,XX Company has a relay attack vulnerability on keyless start,In-vehicle,Radio,Interception,Relay,Medium,2024-3-8,Mid-range,German,Sedan,L2,Petrol,-,Competition-4-Vehicle-3,3,Traffic analysis,-,-,-,-,-,-,-,TRUE,-
62,The software installation protection of XX Company's XX model can be bypassed,In-vehicle,IVI,OS,Arbitrary software installation,Low,2024-3-8,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-4,4,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
63,The XX model of XX Company has a system privilege command execution vulnerability,In-vehicle,IVI,Authorization,Privilege escalation,Low,2024-3-7,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,8,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
64,XX Company's cloud platform has an information leakage vulnerability,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2024-3-7,Remote,German,Sedan,L2,Petrol,-,Competition-4-Vehicle-3,3,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
65,The XX model of XX Company has a system privilege command execution vulnerability,In-vehicle,IVI,Authorization,Privilege escalation,Low,2024-3-7,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,8,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
66,The front-end logic error of XX Company's cloud platform returns a password,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2024-3-7,Remote,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,8,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
67,The IVI of XX Company's XX model has a DNS denial of service vulnerability (CVE-2017-14496),In-vehicle,IVI,DoS,DoS,Low,2024-3-7,Short-range,China,SUV,L3,Electric,-,Competition-4-Vehicle-4,3,Vulnerability reproduction,-,-,-,-,-,-,TRUE,-,-
68,Weak root ssh password in XX Company's internal network,In-vehicle,ECU,Authorization,Weak password,Medium,2024-3-7,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-3,7,Port scanning,Brute force,-,-,TRUE,TRUE,-,-,-,-
69,The IVI of XX Company's XX model has a DNS denial of service vulnerability (CVE-2017-14495),In-vehicle,IVI,DoS,DoS,Low,2024-3-7,Short-range,China,SUV,L3,Electric,-,Competition-4-Vehicle-4,3,Vulnerability reproduction,-,-,-,-,-,-,TRUE,-,-
70,The APP of XX Company has a vulnerability of leaking a large number of invitation records,Outside-vehicle,APP,Information leakage,Information leakage,Low,2024-3-7,Remote,China,Sedan,L2,Electric, APP-internal,Competition-8-Vehicle-3,7,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
71,The APP of XX Company has a vulnerability of leaking a large amount of shopping cart information,Outside-vehicle,APP,Information leakage,Information leakage,Low,2024-3-7,Remote,China,Sedan,L2,Electric, APP-internal,Competition-8-Vehicle-3,7,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
72,The APP of XX Company has a vulnerability of unauthorized malicious addition of shopping cart items,Outside-vehicle,APP,Authorization,Unauthorized accessing,Low,2024-3-7,Remote,China,Sedan,L2,Electric, APP-internal,Competition-8-Vehicle-3,7,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
73,The APP of XX Company has a vulnerability of unauthorized user following,Outside-vehicle,APP,Authorization,Unauthorized accessing,Low,2024-3-7,Remote,China,Sedan,L2,Electric, APP-internal,Competition-8-Vehicle-3,7,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
74,XX Company's cloud platform has an SQL injection vulnerability that can obtain admin privileges,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2024-3-6,Remote,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,4,Penetration testing,-,-,-,TRUE,-,-,-,-,-
75,Permission leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2024-3-6,Remote,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,4,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
76,The APP of XX Company has a data leakage vulnerability,Outside-vehicle,APP,Information leakage,Information leakage,Medium,2024-3-6,Remote,China,Sedan,L2,Electric, APP-internal,Competition-8-Vehicle-3,3,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
77,The APP of XX Company has a data leakage vulnerability,Outside-vehicle,APP,Information leakage,Information leakage,Low,2024-3-6,Remote,China,SUV,L3,Electric, APP-internal,Competition-4-Vehicle-4,3,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
78,The IVI of XX Company's XX model has a Content Provider SQL injection vulnerability,In-vehicle,IVI,Injection,SQL injection,Medium,2024-3-6,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,7,Unpacking,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
79,The IVI of XX Company's XX model has a Content Provider SQL injection vulnerability,In-vehicle,IVI,Injection,SQL injection,Medium,2024-3-6,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,7,Unpacking,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
80,The IVI of XX Company's XX model has a Content Provider SQL injection vulnerability,In-vehicle,IVI,Injection,SQL injection,Medium,2024-3-6,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,7,Unpacking,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
81,The IVI of XX Company's XX model has a Content Provider SQL injection vulnerability,In-vehicle,IVI,Injection,SQL injection,Medium,2024-3-6,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,7,Unpacking,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
82,The IVI of XX Company's XX model has a Content Provider SQL injection vulnerability,In-vehicle,IVI,Injection,SQL injection,Medium,2024-3-6,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,7,Unpacking,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
83,The IVI of XX Company's XX model has a Content Provider SQL injection vulnerability,In-vehicle,IVI,Injection,SQL injection,Medium,2024-3-6,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,7,Unpacking,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
84,The IVI of XX Company's XX model has a Content Provider SQL injection vulnerability,In-vehicle,IVI,Injection,SQL injection,Medium,2024-3-6,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,7,Unpacking,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
85,The IVI of XX Company's XX model has a Content Provider SQL injection vulnerability,In-vehicle,IVI,Injection,SQL injection,Medium,2024-3-6,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,7,Unpacking,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
86,The IVI of XX Company's XX model has a Content Provider SQL injection vulnerability,In-vehicle,IVI,Injection,SQL injection,Medium,2024-3-6,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,7,Unpacking,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
87,The IVI of XX Company's XX model has a Content Provider SQL injection vulnerability,In-vehicle,IVI,Injection,SQL injection,Medium,2024-3-6,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,7,Unpacking,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
88,The IVI of XX Company's XX model can install arbitrary APKs,In-vehicle,IVI,OS,Arbitrary software installation,Medium,2024-3-6,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-3,3,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
89,Integer overflow in the vehicle safety controller of XX Company,In-vehicle,ECU,Memory,Integer overflow,High,2024-3-6,Short-range,America,Sedan,L2,Electric,-,Competition-8-Vehicle-1,3,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
90,The XX model of XX Company can enable adb debugging mode via the central touchscreen,In-vehicle,IVI,Authorization,Unauthorized accessing,Medium,2024-3-6,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-3,3,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
91,The XX model of XX Company can enter engineering mode via the central touchscreen,In-vehicle,IVI,Authorization,Unauthorized accessing,Medium,2024-3-6,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-3,3,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
92,The XX model of XX Company has a system privilege command execution vulnerability,In-vehicle,IVI,Authorization,Privilege escalation,Low,2024-3-6,Short-range,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,4,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
93,The APP of XX Company has permission acquisition of the XX domain server,Outside-vehicle,APP,Information leakage,Information leakage,High,2024-3-6,Remote,China,Sedan,L2,Electric, APP-internal,Competition-8-Vehicle-3,3,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
94,The APP of XX Company has permission acquisition of the XX domain server,Outside-vehicle,APP,Information leakage,Information leakage,High,2024-3-6,Remote,China,Sedan,L2,Electric, APP-internal,Competition-8-Vehicle-3,3,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
95,The APP of XX Company has permission acquisition of the XX domain server,Outside-vehicle,APP,Information leakage,Information leakage,High,2024-3-6,Remote,China,Sedan,L2,Electric, APP-internal,Competition-8-Vehicle-3,3,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
96,The APP of XX Company has permission acquisition of the XX domain server,Outside-vehicle,APP,Information leakage,Information leakage,High,2024-3-6,Remote,China,Sedan,L2,Electric, APP-internal,Competition-8-Vehicle-3,3,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
97,The APP of XX Company has a communication certificate key leakage vulnerability,Outside-vehicle,APP,Information leakage,Information leakage,Low,2024-3-5,Remote,China,Sedan,L2,Electric,APP-to-vehicle,Competition-8-Vehicle-3,2,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
98,The car infotainment system of XX Company has an FTP permission acquisition vulnerability,In-vehicle,ECU,Authorization,Weak password,Low,2024-3-5,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-3,2,Port scanning,Brute force,-,-,TRUE,TRUE,-,-,-,-
99,The car infotainment system of XX Company has a permission acquisition vulnerability,In-vehicle,ECU,Authorization,Weak password,Medium,2024-3-5,Short-range,China,Sedan,L2,Electric,-,Competition-8-Vehicle-3,2,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
